"APN","PROJECT NUMBER","NAME","ADDRESS","SITE_#","COMMUNITY","COUNCIL DISTRICT","DEVELOPMENT STAGE","CONSTRUCTION TYPE","HOUSING TYPE","HCIDLA FUNDED","LEVERAGE","TAX EXEMPT CONDUIT BOND","TDC","PHOTO","JOBS","DEVELOPER","MANAGEMENT COMPANY","CONTACT PHONE"
"2656018027","09-104740","CROSSINGS AT NORTH HILLS","9311-9345 Sepulveda Blvd., 91343","1","NORTH HILLS","0","READY FOR OCCUPANCY","ACQUISITION + NEW CONSTRUCTION","FAMILY","3,657,320.00","11,196,299.00","0.00","14,853,619.00","http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png","79","UHC 00137 NORTH HILLS DEVELOPMENT, LLC","N/A","N/A"
"5077027011","06-117195","CONCORD APARTMENTS (GRP. A & B) (SITE 5)","2674 W JAMES M. WOOD BLVD CA 90006","5","WILSHIRE CENTER","1","READY FOR OCCUPANCY","REHAB","FAMILY","0.00","7,334,438.00","8,579,256.00","15,913,694.00","http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png",,"1755 EFM 2, LLC","ALPHA PROPERTY MANAGEMENT, INC.","(323) 231-4174"
"5407024005","10-117558","YALE STREET FAMILY HOUSING","715-721 YALE ST  Los Angeles, CA 90012","1","CHINATOWN","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","FAMILY","5,093,531.00","18,993,842.00","0.00","24,087,373.00","http://hcidapp.lacity.org/mpphotos/10-117558/Photo/Website/Yale%20Street%20Family.png","199","Affirmed Housing Group","SOLARI ENTERPRISES, INC","(714) 282-2520"
"5154026023","111","HISTORIC BARBIZON HOTEL APTS.","1927 W 6TH ST 1-51 CA 90057","1","WESTLAKE","1","READY FOR OCCUPANCY","REHAB","FAMILY","5,009,394.00","13,935,814.00","0.00","18,945,208.00","http://hcidapp.lacity.org/mpphotos/000111/Photo/Website/CD_1_-_Barbizon_Hotel.png","47","NEIGHBORHOOD EFFORT,","THE EBERLY COMPANY","(323) 937-6468"
"5408018028","50007","YALE TERRACE","716 N YALE ST 1-55 CA 90012","1","CHINATOWN","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","LARGE FAMILY / WAIVER REQUIRED","2,133,310.00","23,154,000.00","0.00","25,287,310.00","http://hcidapp.lacity.org/mpphotos/050007/Photo/Website/CD%201%20-%20Yale%20Terrace%20-%20050007.jpg","184","ADVANCED DEVELOPMENT & INVESTMENT,","FPI MANAGEMENT INC.","(714) 641-5110"
"5076018023","15-123418","WESTMORE ELDEN ELMS PH2","1255 S ELDEN AVE CA 90006","1","PICO-UNION","1","UNDERCONSTRUCTION","NEW CONSTRUCTION","FAMILY","0.00","1.00","0.00","1.00","http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png",,"West Hollywood Community Housing Corporation","JOHN STEWART COMPANY","(213) 787-2700"
"5445007903","11-117797","TAYLOR YARD APARTMENTS","1311 N SAN FERNANDO RD  Los Angeles, CA 90065","1","MT. WASHINGTON","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","FAMILY","6,199,789.00","11,514,000.00","3,500,000.00","21,213,789.00","http://hcidapp.lacity.org/mpphotos/11-117797/Photo/Website/11-117797.jpg","205","MCCORMACK BARON & ASSOCIATES,","MCCORMACK BARON RAGAN MANAGEMENT","(213) 236-2694"
"5124024011","15-122656","ST. JAMES PARK (SITE 2)","34 ST JAMES PARK  Los Angeles, CA 90007","2","UNIVERSITY PARK","1","READY FOR OCCUPANCY","ACQUISITION + REHAB","FAMILY","0.00","27,481,703.00","9,879,228.00","37,360,931.00","http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png",,"Retirement Housing Foundation","FOUNDATION PROPERTY MANAGEMENT, INC.","(213) 746-9548"
"5474023016","70171","TRES LOMAS GARDEN APTS.","4343 N TOLAND WAY CA 90041","1","GLASSELL PARK","1","READY FOR OCCUPANCY","ACQUISITION + REHAB","SENIORS","2,225,251.00","4,586,754.00","562,729.00","7,374,734.00","http://hcidapp.lacity.org/mpphotos/070171/Photo/Website/CD%2014%20-%20Tres%20Lomas%20-%20070171.JPG","24","National Community Renaissance of California","NATIONAL COMMUNITY RENAISSANCE OF CALIFORNIA","(909) 483-2444"
"5154032016","07-117236","MACARTHUR PARK TOWER","450 S GRAND VIEW ST CA 90057","1","WESTLAKE","1","READY FOR OCCUPANCY","ACQUISITION + REHAB","SENIORS","0.00","21,975,257.00","7,387,654.00","29,362,911.00","http://hcidapp.lacity.org/mpphotos/07-117236/Photo/Website/BONDS%20MacArthur%20Park%20Tower%20(wide%20shot).png",,"Retirement Housing Foundation","FOUNDATION PROPERTY MANAGEMENT, INC.","(562) 257-5100"
"5408029005","10-117999","CHINATOWN METRO APARTMENTS","808 N NORTH SPRING ST CA 90012","1","CHINATOWN","1","READY FOR OCCUPANCY","BOTH REHAB AND NEW CONSTRUCTION","SENIORS","12,600,000.00","28,500,009.00","3,810,000.00","44,910,009.00","http://hcidapp.lacity.org/mpphotos/10-117999/Photo/Website/Chinatown%20Metro.JPG","322","META HOUSING CORPORATION","WESTERN SENIORS HOUSING, INC.","(949) 748-8201"
"5075037024","80053","PROFESSIONAL HSG. & DEV. APTS. (PH & D) (SITE 4)","1745 W 20th  Los Angeles, CA 90007","4","WEST ADAMS","1","READY FOR OCCUPANCY","REHAB","FAMILY","4,575,000.00","10,250,907.00","0.00","14,825,907.00","http://hcidapp.lacity.org/mpphotos/080053/Photo/Website%20Site4/PH&D%201400%20Kenmore.jpg","45","Gubb and Barshay","LITTLE TOKYO SERVICE CENTER","(213) 434-1645"
"5143024008","10-117625","BIXEL HOUSE APARTMENTS","625 S BIXEL ST CA 90017","1","WESTLAKE","1","READY FOR OCCUPANCY","REHAB","SPECIAL NEEDS","850,000.00","10,220,352.00","0.00","11,070,352.00","http://hcidapp.lacity.org/mpphotos/10-117625/Photo/Website/Bixel%20House.jpg","64","Bixel House Apartments, LP","SOLARI ENTERPRISES, INC.","(714) 282-2520"
"5136020025","15-122548","CASA CARMEN SENIOR APARTMENTS","1800 W 11TH ST CA 90006","1","PICO-UNION","1","READY FOR OCCUPANCY","BOTH REHAB AND NEW CONSTRUCTION","SPECIAL NEEDS","2,580,000.00","9,138,795.00","0.00","11,718,795.00","http://hcidapp.lacity.org/mpphotos/15-122548/Photo/Website/Casa%20Carmen.JPG","123","1010 DEVELOPMENT CORPORATION","BARKER MANAGEMENT INC.","(213) 628-1036"
"5076019031","10-104715","MENLO FAMILY HOUSING","1230 S MENLO AVE CA 90006","1","PICO-UNION","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","FAMILY","6,309,887.00","19,253,250.00","0.00","25,563,137.00","http://hcidapp.lacity.org/mpphotos/10-104715/Photo/Website/10-104715.JPG","202","Menlo Family Housing, L.P","LTSC CDC PROPERTY MANAGEMENT","(213) 473-3021"
"5077020016","05-117193","LEEWARD APTS. (SITE 4)","2818 W LEEWARD AVE CA 90005","4","WILSHIRE CENTER","1","READY FOR OCCUPANCY","REHAB","FAMILY","0.00","7,103,994.00","10,208,936.00","17,312,930.00","http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png",,"HAMPSTEAD PARTNERS, INC.","ALPHA PROPERTY MANAGEMENT, INC.","(323) 231-4174"
"5153024008","18-124748","HARTFORD VILLA APARTMENTS (SITE 2)","459 S HARTFORD AVE 1-60 CA 90017","2","WESTLAKE","1","UNDERCONSTRUCTION","NEW CONSTRUCTION","SPECIAL NEEDS","14,211,535.00","0.00","0.00","14,211,535.00","http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png","406","Single Room Occupancy Housing Corporation","SINGLE ROOM OCCUPANCY HOUSING CORPORATION","(213) 229-9640"
"5142002904","80006","MACARTHUR PARK METRO APTS-PHASE A","681 S BONNIE BRAE ST CA 90057","1","WESTLAKE","1","READY FOR OCCUPANCY","N/A","N/A","10,935,748.00","14,269,866.00","2,450,000.00","27,655,614.00","http://hcidapp.lacity.org/mpphotos/080006/Photo/Website/macparkmetro1901_7th_7213019%20[2].png","312","McCormack Baron Salazar","MCCORMACK BARON RAGAN MANAGEMENT SERVICES, INC.","(314) 421-1160"
"5474022011","12-118878","EAGLE VISTA (AKA TEAGUE TERRACE)","4260 N EAGLE ROCK BLVD CA 90041","1","GLASSELL PARK","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","SPECIAL NEEDS","1,773,961.00","15,806,726.00","0.00","17,580,687.00","http://hcidapp.lacity.org/mpphotos/12-118878/Photo/Website/150_2830.png","159","Women Organizing Resources Knowledge & Services","SOLARI ENTERPRISES INC.","(714) 282-2520"
"5153023017","07-117237","QUEEN APARTMENTS (SITE 3)","445 S LUCAS AVE CA 90017","3","WESTLAKE","1","READY FOR OCCUPANCY","REHAB","FAMILY","0.00","10,271,751.00","7,300,000.00","17,571,751.00","http://hcidapp.lacity.org/mpphotos/07-117237/Photo/Website%20Site3/Queens%20(site3)%20445%20Lucas.png",,"N/A","THE JOHN STEWART COMPANY","(213) 833-1860"
"5076019029","12-118854","FREEMAN VILLA","1229 S WESTMORELAND AVE CA 90006","1","PICO-UNION","1","READY FOR OCCUPANCY","ACQUISITION + REHAB","SENIORS","0.00","3,973,637.00","3,886,000.00","7,859,637.00","http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png",,"Blackbriar Development, LLC","ALPHA PROPERTY MANAGEMENT INC.","N/A"
"5153023008","08-117188","ANDALUCIA HEIGHTS","450 S HARTFORD AVE CA 90017","1","WESTLAKE","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","FAMILY","5,354,118.00","19,753,513.00","0.00","25,107,631.00","http://hcidapp.lacity.org/mpphotos/08-117188/Photo/Website/andalucia%20heights.png","274","W.O.R.K.S.,","FPI MANAGEMENT, INC","(916) 813-0056"
"5124031012","20291","ALEGRIA APARTMENTS","801 W 23RD ST CA 90007","1","UNIVERSITY PARK","1","READY FOR OCCUPANCY","REHAB","FAMILY","602,162.00","3,087,124.00","0.00","3,689,286.00","http://hcidapp.lacity.org/mpphotos/020291/Photo/Website/CD%201%20-%20Alegria%20-%20020291.jpg","15","ESPERANZA COMMUNITY HOUSING,","ABODE COMMUNITIES","(213) 225-2772"
"5143013029","06-117195","CONCORD APARTMENTS (GRP. A & B)","1348 W INGRAHAM ST CA 90017","1","WESTLAKE","1","READY FOR OCCUPANCY","REHAB","FAMILY","0.00","7,334,438.00","8,579,256.00","15,913,694.00","http://hcidapp.lacity.org/mpphotos/06-117195/Photo/Website/BONDS%20Concord%20A%20&%20B.png",,"1755 EFM 2, LLC","ALPHA PROPERTY MANAGEMENT, INC.","(323) 231-4174"
